id,content_type,category_id,category_name,grade_id,grade_name,item,description
CCSS.ELA-LITERACY.RF.K.4,ELA-LITERACY,RF,Reading: Foundational Skills,K,Kindergarten,4,Read emergent-reader texts with purpose and understanding.
CCSS.ELA-LITERACY.RI.K.1,ELA-LITERACY,RI,Reading: Informational Text,K,Kindergarten,1,"With prompting and support, ask and answer questions about key details in a text."
CCSS.ELA-LITERACY.RI.K.2,ELA-LITERACY,RI,Reading: Informational Text,K,Kindergarten,2,"With prompting and support, identify the main topic and retell key details of a text."
CCSS.ELA-LITERACY.RI.K.3,ELA-LITERACY,RI,Reading: Informational Text,K,Kindergarten,3,"With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text."
CCSS.ELA-LITERACY.RI.K.4,ELA-LITERACY,RI,Reading: Informational Text,K,Kindergarten,4,"With prompting and support, ask and answer questions about unknown words in a text."
CCSS.ELA-LITERACY.RI.K.5,ELA-LITERACY,RI,Reading: Informational Text,K,Kindergarten,5,"Identify the front cover, back cover, and title page of a book."
CCSS.ELA-LITERACY.RI.K.6,ELA-LITERACY,RI,Reading: Informational Text,K,Kindergarten,6,Name the author and illustrator of a text and define the role of each in presenting the ideas or information in a text.
CCSS.ELA-LITERACY.RI.K.7,ELA-LITERACY,RI,Reading: Informational Text,K,Kindergarten,7,"With prompting and support, describe the relationship between illustrations and the text in which they appear (e.g., what person, place, thing, or idea in the text an illustration depicts)."
CCSS.ELA-LITERACY.RI.K.8,ELA-LITERACY,RI,Reading: Informational Text,K,Kindergarten,8,"With prompting and support, identify the reasons an author gives to support points in a text."
CCSS.ELA-LITERACY.RI.K.9,ELA-LITERACY,RI,Reading: Informational Text,K,Kindergarten,9,"With prompting and support, identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
CCSS.ELA-LITERACY.RI.K.10,ELA-LITERACY,RI,Reading: Informational Text,K,Kindergarten,10,Actively engage in group reading activities with purpose and understanding.
CCSS.ELA-LITERACY.RL.K.1,ELA-LITERACY,RL,Reading: Literature,K,Kindergarten,1,"With prompting and support, ask and answer questions about key details in a text."
CCSS.ELA-LITERACY.RL.K.2,ELA-LITERACY,RL,Reading: Literature,K,Kindergarten,2,"With prompting and support, retell familiar stories, including key details."
CCSS.ELA-LITERACY.RL.K.3,ELA-LITERACY,RL,Reading: Literature,K,Kindergarten,3,"With prompting and support, identify characters, settings, and major events in a story."
CCSS.ELA-LITERACY.RL.K.4,ELA-LITERACY,RL,Reading: Literature,K,Kindergarten,4,Ask and answer questions about unknown words in a text.
CCSS.ELA-LITERACY.RL.K.5,ELA-LITERACY,RL,Reading: Literature,K,Kindergarten,5,"Recognize common types of texts (e.g. ,storybooks, poems)."
CCSS.ELA-LITERACY.RL.K.6,ELA-LITERACY,RL,Reading: Literature,K,Kindergarten,6,"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story."
CCSS.ELA-LITERACY.RL.K.7,ELA-LITERACY,RL,Reading: Literature,K,Kindergarten,7,"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts)."
CCSS.ELA-LITERACY.RL.K.8,ELA-LITERACY,RL,Reading: Literature,K,Kindergarten,8,(Not applicable to literature)
CCSS.ELA-LITERACY.RL.K.9,ELA-LITERACY,RL,Reading: Literature,K,Kindergarten,9,"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories."
CCSS.ELA-LITERACY.RL.K.10,ELA-LITERACY,RL,Reading: Literature,K,Kindergarten,10,Actively engage in group reading activities with purpose and understanding.
CCSS.ELA-LITERACY.SL.K.1,ELA-LITERACY,SL,Speaking & Listening,K,Kindergarten,1,Participate in collaborative conversations with diverse partners about kindergarten topics and texts with peers and adults in small and larger groups.
CCSS.ELA-LITERACY.SL.K.1.a,ELA-LITERACY,SL,Speaking & Listening,K,Kindergarten,1a,"Follow agreed-upon rules for discussions (e.g., listening to others and taking turns speaking about the topics and texts under discussion)."
CCSS.ELA-LITERACY.SL.K.1.b,ELA-LITERACY,SL,Speaking & Listening,K,Kindergarten,1b,Continue a conversation through multiple exchanges.
CCSS.ELA-LITERACY.SL.K.2,ELA-LITERACY,SL,Speaking & Listening,K,Kindergarten,2,Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.
CCSS.ELA-LITERACY.SL.K.3,ELA-LITERACY,SL,Speaking & Listening,K,Kindergarten,3,"Ask and answer questions in order to seek help, get information, or clarify something that is not understood."
CCSS.ELA-LITERACY.SL.K.4,ELA-LITERACY,SL,Speaking & Listening,K,Kindergarten,4,"Describe familiar people, places, things, and events and, with prompting and support, provide additional detail."
CCSS.ELA-LITERACY.SL.K.5,ELA-LITERACY,SL,Speaking & Listening,K,Kindergarten,5,Add drawings or other visual displays to descriptions as desired to provide additional detail.
CCSS.ELA-LITERACY.SL.K.6,ELA-LITERACY,SL,Speaking & Listening,K,Kindergarten,6,"Speak audibly and express thoughts, feelings, and ideas clearly."
CCSS.ELA-LITERACY.W.K.1,ELA-LITERACY,W,Writing,K,Kindergarten,1,"Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book (e.g., My favorite book is...)."
CCSS.ELA-LITERACY.W.K.2,ELA-LITERACY,W,Writing,K,Kindergarten,2,"Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic."
CCSS.ELA-LITERACY.W.K.3,ELA-LITERACY,W,Writing,K,Kindergarten,3,"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened."
CCSS.ELA-LITERACY.W.K.4,ELA-LITERACY,W,Writing,K,Kindergarten,4,(Begins in grade 3)
CCSS.ELA-LITERACY.W.K.5,ELA-LITERACY,W,Writing,K,Kindergarten,5,"With guidance and support from adults, respond to questions and suggestions from peers and add details to strengthen writing as needed."
CCSS.ELA-LITERACY.W.K.6,ELA-LITERACY,W,Writing,K,Kindergarten,6,"With guidance and support from adults, explore a variety of digital tools to produce and publish writing, including in collaboration with peers."
CCSS.ELA-LITERACY.W.K.7,ELA-LITERACY,W,Writing,K,Kindergarten,7,"Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them)."
CCSS.ELA-LITERACY.W.K.8,ELA-LITERACY,W,Writing,K,Kindergarten,8,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question."
CCSS.ELA-LITERACY.W.K.9,ELA-LITERACY,W,Writing,K,Kindergarten,9,(Begins in grade 4)
CCSS.ELA-LITERACY.W.K.10,ELA-LITERACY,W,Writing,K,Kindergarten,10,(Begins in grade 3)
CCSS.ELA-LITERACY.L.1.1,ELA-LITERACY,L,Language,1,Grade 1,1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
CCSS.ELA-LITERACY.L.1.1.a,ELA-LITERACY,L,Language,1,Grade 1,1a,Print all upper- and lowercase letters.
CCSS.ELA-LITERACY.L.1.1.b,ELA-LITERACY,L,Language,1,Grade 1,1b,"Use common, proper, and possessive nouns."
CCSS.ELA-LITERACY.L.1.1.c,ELA-LITERACY,L,Language,1,Grade 1,1c,"Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop)."
CCSS.ELA-LITERACY.L.1.1.d,ELA-LITERACY,L,Language,1,Grade 1,1d,"Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their, anyone, everything)."
CCSS.ELA-LITERACY.L.1.1.e,ELA-LITERACY,L,Language,1,Grade 1,1e,"Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home)."
CCSS.ELA-LITERACY.L.1.1.f,ELA-LITERACY,L,Language,1,Grade 1,1f,Use frequently occurring adjectives.
CCSS.ELA-LITERACY.L.1.1.g,ELA-LITERACY,L,Language,1,Grade 1,1g,"Use frequently occurring conjunctions (e.g., and, but, or, so, because)."
CCSS.ELA-LITERACY.L.1.1.h,ELA-LITERACY,L,Language,1,Grade 1,1h,"Use determiners (e.g., articles, demonstratives)."
CCSS.ELA-LITERACY.L.1.1.i,ELA-LITERACY,L,Language,1,Grade 1,1i,"Use frequently occurring prepositions (e.g., during, beyond, toward)."
CCSS.ELA-LITERACY.L.1.1.j,ELA-LITERACY,L,Language,1,Grade 1,1j,"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts."
CCSS.ELA-LITERACY.L.1.2,ELA-LITERACY,L,Language,1,Grade 1,2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
CCSS.ELA-LITERACY.L.1.2.a,ELA-LITERACY,L,Language,1,Grade 1,2a,Capitalize dates and names of people.
CCSS.ELA-LITERACY.L.1.2.b,ELA-LITERACY,L,Language,1,Grade 1,2b,Use end punctuation for sentences.
CCSS.ELA-LITERACY.L.1.2.c,ELA-LITERACY,L,Language,1,Grade 1,2c,Use commas in dates and to separate single words in a series.
CCSS.ELA-LITERACY.L.1.2.d,ELA-LITERACY,L,Language,1,Grade 1,2d,Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.
CCSS.ELA-LITERACY.L.1.2.e,ELA-LITERACY,L,Language,1,Grade 1,2e,"Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions."
CCSS.ELA-LITERACY.L.1.3,ELA-LITERACY,L,Language,1,Grade 1,3,(Begins in grade 2)
CCSS.ELA-LITERACY.L.1.4,ELA-LITERACY,L,Language,1,Grade 1,4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies."
CCSS.ELA-LITERACY.L.1.4.a,ELA-LITERACY,L,Language,1,Grade 1,4a,Use sentence-level context as a clue to the meaning of a word or phrase.
CCSS.ELA-LITERACY.L.1.4.b,ELA-LITERACY,L,Language,1,Grade 1,4b,Use frequently occurring affixes as a clue to the meaning of a word.
CCSS.ELA-LITERACY.L.1.4.c,ELA-LITERACY,L,Language,1,Grade 1,4c,"Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking)."
CCSS.ELA-LITERACY.L.1.5,ELA-LITERACY,L,Language,1,Grade 1,5,"With guidance and support from adults, demonstrate understanding of word relationships and nuances in word meanings."
CCSS.ELA-LITERACY.L.1.5.a,ELA-LITERACY,L,Language,1,Grade 1,5a,"Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent."
CCSS.ELA-LITERACY.L.1.5.b,ELA-LITERACY,L,Language,1,Grade 1,5b,"Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes)."
CCSS.ELA-LITERACY.L.1.5.c,ELA-LITERACY,L,Language,1,Grade 1,5c,"Identify real-life connections between words and their use (e.g., note places at home that are cozy)."
CCSS.ELA-LITERACY.L.1.5.d,ELA-LITERACY,L,Language,1,Grade 1,5d,"Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings."
CCSS.ELA-LITERACY.L.1.6,ELA-LITERACY,L,Language,1,Grade 1,6,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., because)."
CCSS.ELA-LITERACY.RF.1.1,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,1,Demonstrate understanding of the organization and basic features of print.
CCSS.ELA-LITERACY.RF.1.1.a,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,1a,"Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation)."
CCSS.ELA-LITERACY.RF.1.2,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,2,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
CCSS.ELA-LITERACY.RF.1.2.a,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,2a,Distinguish long from short vowel sounds in spoken single-syllable words.
CCSS.ELA-LITERACY.RF.1.2.b,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,2b,"Orally produce single-syllable words by blending sounds (phonemes), including consonant blends."
CCSS.ELA-LITERACY.RF.1.2.c,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,2c,"Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words."
CCSS.ELA-LITERACY.RF.1.2.d,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,2d,Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes).
CCSS.ELA-LITERACY.RF.1.3,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,3,Know and apply grade-level phonics and word analysis skills in decoding words.
CCSS.ELA-LITERACY.RF.1.3.a,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,3a,Know the spelling-sound correspondences for common consonant digraphs.
CCSS.ELA-LITERACY.RF.1.3.b,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,3b,Decode regularly spelled one-syllable words.
CCSS.ELA-LITERACY.RF.1.3.c,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,3c,Know final -e and common vowel team conventions for representing long vowel sounds.
CCSS.ELA-LITERACY.RF.1.3.d,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,3d,Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word.
CCSS.ELA-LITERACY.RF.1.3.e,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,3e,Decode two-syllable words following basic patterns by breaking the words into syllables.
CCSS.ELA-LITERACY.RF.1.3.f,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,3f,Read words with inflectional endings.
CCSS.ELA-LITERACY.RF.1.3.g,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,3g,Recognize and read grade-appropriate irregularly spelled words.
CCSS.ELA-LITERACY.RF.1.4,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,4,Read with sufficient accuracy and fluency to support comprehension.
CCSS.ELA-LITERACY.RF.1.4.a,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,4a,Read grade-level text with purpose and understanding.
CCSS.ELA-LITERACY.RF.1.4.b,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,4b,"Read grade-level text orally with accuracy, appropriate rate, and expression on successive readings."
CCSS.ELA-LITERACY.RF.1.4.c,ELA-LITERACY,RF,Reading: Foundational Skills,1,Grade 1,4c,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
CCSS.ELA-LITERACY.RI.1.1,ELA-LITERACY,RI,Reading: Informational Text,1,Grade 1,1,Ask and answer questions about key details in a text.
CCSS.ELA-LITERACY.RI.1.2,ELA-LITERACY,RI,Reading: Informational Text,1,Grade 1,2,Identify the main topic and retell key details of a text.
CCSS.ELA-LITERACY.RI.1.3,ELA-LITERACY,RI,Reading: Informational Text,1,Grade 1,3,"Describe the connection between two individuals, events, ideas, or pieces of information in a text."
CCSS.ELA-LITERACY.RI.1.4,ELA-LITERACY,RI,Reading: Informational Text,1,Grade 1,4,Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.
CCSS.ELA-LITERACY.RI.1.5,ELA-LITERACY,RI,Reading: Informational Text,1,Grade 1,5,"Know and use various text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text."
CCSS.ELA-LITERACY.RI.1.6,ELA-LITERACY,RI,Reading: Informational Text,1,Grade 1,6,Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.
CCSS.ELA-LITERACY.RI.1.7,ELA-LITERACY,RI,Reading: Informational Text,1,Grade 1,7,Use the illustrations and details in a text to describe its key ideas.
CCSS.ELA-LITERACY.RI.1.8,ELA-LITERACY,RI,Reading: Informational Text,1,Grade 1,8,Identify the reasons an author gives to support points in a text.
CCSS.ELA-LITERACY.RI.1.9,ELA-LITERACY,RI,Reading: Informational Text,1,Grade 1,9,"Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
CCSS.ELA-LITERACY.RI.1.10,ELA-LITERACY,RI,Reading: Informational Text,1,Grade 1,10,"With prompting and support, read informational texts appropriately complex for grade 1."
CCSS.ELA-LITERACY.RL.1.1,ELA-LITERACY,RL,Reading: Literature,1,Grade 1,1,Ask and answer questions about key details in a text.
CCSS.ELA-LITERACY.RL.1.2,ELA-LITERACY,RL,Reading: Literature,1,Grade 1,2,"Retell stories, including key details, and demonstrate understanding of their central message or lesson."
CCSS.ELA-LITERACY.RL.1.3,ELA-LITERACY,RL,Reading: Literature,1,Grade 1,3,"Describe characters, settings, and major events in a story, using key details."
CCSS.ELA-LITERACY.RL.1.4,ELA-LITERACY,RL,Reading: Literature,1,Grade 1,4,Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.
CCSS.ELA-LITERACY.RL.1.5,ELA-LITERACY,RL,Reading: Literature,1,Grade 1,5,"Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types."
CCSS.ELA-LITERACY.RL.1.6,ELA-LITERACY,RL,Reading: Literature,1,Grade 1,6,Identify who is telling the story at various points in a text.
CCSS.ELA-LITERACY.RL.1.7,ELA-LITERACY,RL,Reading: Literature,1,Grade 1,7,"Use illustrations and details in a story to describe its characters, setting, or events."
CCSS.ELA-LITERACY.RL.1.8,ELA-LITERACY,RL,Reading: Literature,1,Grade 1,8,(Not applicable to literature)
CCSS.ELA-LITERACY.RL.1.9,ELA-LITERACY,RL,Reading: Literature,1,Grade 1,9,Compare and contrast the adventures and experiences of characters in stories.
CCSS.ELA-LITERACY.RL.1.10,ELA-LITERACY,RL,Reading: Literature,1,Grade 1,10,"With prompting and support, read prose and poetry of appropriate complexity for grade 1."
CCSS.ELA-LITERACY.SL.1.1,ELA-LITERACY,SL,Speaking & Listening,1,Grade 1,1,Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups.
CCSS.ELA-LITERACY.SL.1.1.a,ELA-LITERACY,SL,Speaking & Listening,1,Grade 1,1a,"Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion)."
CCSS.ELA-LITERACY.SL.1.1.b,ELA-LITERACY,SL,Speaking & Listening,1,Grade 1,1b,Build on others' talk in conversations by responding to the comments of others through multiple exchanges.
CCSS.ELA-LITERACY.SL.1.1.c,ELA-LITERACY,SL,Speaking & Listening,1,Grade 1,1c,Ask questions to clear up any confusion about the topics and texts under discussion.
CCSS.ELA-LITERACY.SL.1.2,ELA-LITERACY,SL,Speaking & Listening,1,Grade 1,2,Ask and answer questions about key details in a text read aloud or information presented orally or through other media.
CCSS.ELA-LITERACY.SL.1.3,ELA-LITERACY,SL,Speaking & Listening,1,Grade 1,3,Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.
CCSS.ELA-LITERACY.SL.1.4,ELA-LITERACY,SL,Speaking & Listening,1,Grade 1,4,"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly."
CCSS.ELA-LITERACY.SL.1.5,ELA-LITERACY,SL,Speaking & Listening,1,Grade 1,5,"Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings."
CCSS.ELA-LITERACY.SL.1.6,ELA-LITERACY,SL,Speaking & Listening,1,Grade 1,6,Produce complete sentences when appropriate to task and situation. (See grade 1 Language standards 1 and 3 here for specific expectations.)
CCSS.ELA-LITERACY.W.1.1,ELA-LITERACY,W,Writing,1,Grade 1,1,"Write opinion pieces in which they introduce the topic or name the book they are writing about, state an opinion, supply a reason for the opinion, and provide some sense of closure."
CCSS.ELA-LITERACY.W.1.2,ELA-LITERACY,W,Writing,1,Grade 1,2,"Write informative/explanatory texts in which they name a topic, supply some facts about the topic, and provide some sense of closure."
CCSS.ELA-LITERACY.W.1.3,ELA-LITERACY,W,Writing,1,Grade 1,3,"Write narratives in which they recount two or more appropriately sequenced events, include some details regarding what happened, use temporal words to signal event order, and provide some sense of closure."
CCSS.ELA-LITERACY.W.1.4,ELA-LITERACY,W,Writing,1,Grade 1,4,(Begins in grade 3)
CCSS.ELA-LITERACY.W.1.5,ELA-LITERACY,W,Writing,1,Grade 1,5,"With guidance and support from adults, focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed."
CCSS.ELA-LITERACY.W.1.6,ELA-LITERACY,W,Writing,1,Grade 1,6,"With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers."
CCSS.ELA-LITERACY.W.1.7,ELA-LITERACY,W,Writing,1,Grade 1,7,"Participate in shared research and writing projects (e.g., explore a number of ""how-to"" books on a given topic and use them to write a sequence of instructions)."
CCSS.ELA-LITERACY.W.1.8,ELA-LITERACY,W,Writing,1,Grade 1,8,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question."
CCSS.ELA-LITERACY.W.1.9,ELA-LITERACY,W,Writing,1,Grade 1,9,(Begins in grade 4)
CCSS.ELA-LITERACY.W.1.10,ELA-LITERACY,W,Writing,1,Grade 1,10,(Begins in grade 3)
CCSS.ELA-LITERACY.L.2.1,ELA-LITERACY,L,Language,2,Grade 2,1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
